,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183
A6WDM9,17.0,35.0,17.0,35.0,17.0,35.0,12.0,30.0,12.0,30.0,15.0,16.0,15.0,16.0,15.0,16.0,15.0,16.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,12.0,13.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,12.0,30.0,12.0,30.0,12.0,30.0,12.0,30.0,12.0,12.0,12.0,12.0,19.0,20.0,33.0,36.0,19.0,20.0,33.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2GGD9,10.0,11.0,50.0,19.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,17.0,12.0,12.0,12.0,15.0,16.0,10.0,11.0,10.0,11.0,10.0,11.0,19.0,19.0,19.0,19.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,12.0,12.0,12.0,12.0,19.0,20.0,33.0,36.0,19.0,20.0,33.0,36.0,19.0,20.0,33.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3WE52,12.0,13.0,15.0,19.0,27.0,32.0,54.0,12.0,13.0,15.0,19.0,27.0,32.0,54.0,12.0,13.0,15.0,19.0,27.0,32.0,54.0,39.0,17.0,18.0,20.0,24.0,32.0,37.0,17.0,18.0,20.0,24.0,32.0,37.0,17.0,18.0,20.0,24.0,32.0,37.0,17.0,18.0,20.0,24.0,32.0,37.0,17.0,18.0,20.0,24.0,32.0,37.0,17.0,18.0,20.0,24.0,32.0,37.0,12.0,13.0,15.0,19.0,27.0,32.0,12.0,13.0,15.0,19.0,27.0,32.0,12.0,13.0,15.0,19.0,27.0,32.0,12.0,13.0,15.0,19.0,27.0,32.0,12.0,13.0,15.0,19.0,27.0,32.0,20.0,26.0,38.0,39.0,20.0,26.0,38.0,39.0,20.0,26.0,38.0,39.0,20.0,26.0,38.0,39.0,1.0,7.0,19.0,20.0,34.0,1.0,7.0,19.0,20.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5ZS70,16.0,23.0,40.0,48.0,55.0,16.0,23.0,40.0,48.0,55.0,16.0,23.0,40.0,48.0,55.0,39.0,11.0,18.0,35.0,11.0,18.0,35.0,2.0,10.0,17.0,24.0,2.0,10.0,17.0,24.0,2.0,10.0,17.0,24.0,2.0,10.0,17.0,24.0,2.0,10.0,17.0,24.0,2.0,10.0,17.0,24.0,5.0,12.0,19.0,5.0,12.0,19.0,5.0,12.0,19.0,5.0,12.0,19.0,5.0,12.0,19.0,4.0,11.0,18.0,4.0,11.0,18.0,4.0,11.0,18.0,4.0,11.0,18.0,4.0,11.0,18.0,0.0,13.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04Q90,12.0,19.0,28.0,30.0,46.0,52.0,55.0,12.0,19.0,28.0,30.0,46.0,52.0,55.0,12.0,19.0,28.0,30.0,46.0,52.0,55.0,17.0,24.0,33.0,35.0,17.0,24.0,33.0,35.0,17.0,24.0,33.0,35.0,12.0,19.0,28.0,30.0,12.0,19.0,28.0,30.0,12.0,19.0,28.0,30.0,1.0,7.0,19.0,20.0,38.0,1.0,7.0,19.0,20.0,38.0,1.0,7.0,19.0,20.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0SRT7,12.0,19.0,34.0,37.0,46.0,50.0,12.0,19.0,34.0,37.0,46.0,50.0,12.0,19.0,34.0,37.0,46.0,50.0,12.0,19.0,34.0,37.0,46.0,50.0,12.0,19.0,34.0,37.0,46.0,50.0,34.0,29.0,29.0,17.0,24.0,39.0,17.0,24.0,39.0,17.0,24.0,39.0,42.0,12.0,19.0,34.0,37.0,12.0,19.0,34.0,37.0,12.0,19.0,34.0,37.0,1.0,7.0,19.0,20.0,38.0,1.0,7.0,19.0,20.0,38.0,1.0,7.0,19.0,20.0,38.0,1.0,7.0,19.0,20.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0LCZ3,11.0,27.0,35.0,50.0,59.0,12.0,21.0,52.0,12.0,21.0,52.0,12.0,21.0,52.0,16.0,32.0,2.0,17.0,26.0,2.0,17.0,26.0,2.0,17.0,26.0,2.0,17.0,26.0,2.0,17.0,26.0,2.0,17.0,26.0,2.0,17.0,26.0,2.0,17.0,26.0,2.0,17.0,26.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,12.0,21.0,6.0,1.0,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1TYY4,11.0,35.0,37.0,50.0,51.0,57.0,11.0,35.0,37.0,50.0,51.0,57.0,39.0,16.0,16.0,40.0,11.0,35.0,37.0,11.0,35.0,37.0,11.0,35.0,37.0,11.0,35.0,37.0,2.0,4.0,17.0,18.0,24.0,32.0,2.0,4.0,17.0,18.0,24.0,32.0,2.0,4.0,17.0,18.0,24.0,32.0,2.0,4.0,17.0,18.0,24.0,32.0,12.0,13.0,19.0,27.0,12.0,13.0,19.0,27.0,12.0,13.0,19.0,27.0,12.0,13.0,19.0,27.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0UMS4,11.0,50.0,59.0,16.0,11.0,11.0,11.0,17.0,26.0,32.0,17.0,26.0,32.0,17.0,26.0,32.0,17.0,26.0,32.0,17.0,26.0,32.0,17.0,26.0,32.0,17.0,26.0,32.0,17.0,26.0,32.0,17.0,26.0,32.0,12.0,21.0,27.0,12.0,21.0,27.0,12.0,21.0,27.0,12.0,21.0,27.0,12.0,21.0,27.0,12.0,21.0,27.0,12.0,21.0,27.0,12.0,21.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2RKZ8,11.0,56.0,11.0,11.0,11.0,23.0,23.0,23.0,23.0,23.0,23.0,18.0,18.0,18.0,18.0,18.0,18.0,4.0,6.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4T2J4,11.0,50.0,22.0,40.0,17.0,35.0,17.0,35.0,17.0,35.0,12.0,30.0,12.0,30.0,12.0,30.0,16.0,11.0,11.0,11.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,12.0,30.0,12.0,30.0,12.0,30.0,12.0,30.0,12.0,30.0,25.0,30.0,7.0,12.0,32.0,5.0,19.0,20.0,34.0,36.0,5.0,19.0,20.0,34.0,36.0,5.0,19.0,20.0,34.0,36.0,5.0,19.0,20.0,34.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8ZRN3,11.0,22.0,50.0,16.0,27.0,11.0,22.0,11.0,22.0,11.0,22.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,12.0,30.0,12.0,30.0,12.0,30.0,12.0,30.0,12.0,30.0,6.0,25.0,7.0,19.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q31CW3,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4F2A8,11.0,18.0,35.0,43.0,50.0,57.0,11.0,18.0,35.0,43.0,50.0,57.0,11.0,18.0,35.0,11.0,18.0,35.0,5.0,12.0,19.0,27.0,5.0,12.0,19.0,27.0,5.0,12.0,19.0,27.0,5.0,12.0,19.0,27.0,5.0,12.0,19.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15PF0,11.0,35.0,50.0,53.0,55.0,57.0,11.0,35.0,50.0,53.0,55.0,57.0,16.0,16.0,16.0,40.0,16.0,40.0,11.0,35.0,11.0,35.0,11.0,35.0,20.0,38.0,39.0,1.0,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6VBV3,20.0,38.0,39.0,20.0,38.0,39.0,20.0,38.0,39.0,16.0,23.0,16.0,23.0,40.0,11.0,18.0,35.0,11.0,18.0,35.0,11.0,18.0,35.0,11.0,18.0,35.0,11.0,18.0,35.0,11.0,18.0,35.0,11.0,18.0,35.0,11.0,18.0,35.0,2.0,17.0,18.0,24.0,32.0,2.0,17.0,18.0,24.0,32.0,2.0,17.0,18.0,24.0,32.0,2.0,17.0,18.0,24.0,32.0,2.0,17.0,18.0,24.0,32.0,2.0,17.0,18.0,24.0,32.0,0.0,6.0,13.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8H9P2,8.0,17.0,25.0,35.0,8.0,17.0,25.0,35.0,46.0,47.0,14.0,15.0,16.0,29.0,8.0,17.0,25.0,35.0,8.0,17.0,25.0,35.0,8.0,17.0,25.0,35.0,8.0,17.0,25.0,35.0,8.0,17.0,25.0,35.0,8.0,17.0,25.0,35.0,8.0,17.0,25.0,35.0,8.0,17.0,25.0,35.0,3.0,12.0,20.0,30.0,3.0,12.0,20.0,30.0,3.0,12.0,20.0,30.0,3.0,12.0,20.0,30.0,19.0,20.0,36.0,19.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5VYC6,0.0,6.0,13.0,14.0,46.0,0.0,6.0,13.0,14.0,46.0,0.0,6.0,13.0,14.0,46.0,16.0,23.0,37.0,16.0,23.0,37.0,40.0,11.0,18.0,32.0,35.0,11.0,18.0,32.0,35.0,11.0,18.0,32.0,35.0,11.0,18.0,32.0,35.0,12.0,13.0,19.0,28.0,12.0,13.0,19.0,28.0,12.0,13.0,19.0,28.0,12.0,13.0,19.0,28.0,12.0,13.0,19.0,28.0,0.0,6.0,13.0,14.0,20.0,38.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1SSB6,4.0,34.0,54.0,58.0,1.0,31.0,51.0,55.0,11.0,31.0,35.0,50.0,57.0,11.0,31.0,35.0,50.0,57.0,9.0,16.0,24.0,49.0,57.0,9.0,16.0,24.0,49.0,57.0,1.0,31.0,1.0,31.0,1.0,31.0,1.0,31.0,1.0,31.0,1.0,31.0,16.0,36.0,16.0,36.0,16.0,36.0,40.0,16.0,36.0,40.0,11.0,31.0,35.0,11.0,31.0,35.0,11.0,31.0,35.0,9.0,16.0,24.0,9.0,16.0,24.0,1.0,19.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8XVL0,11.0,43.0,50.0,57.0,16.0,16.0,11.0,10.0,17.0,24.0,32.0,10.0,17.0,24.0,32.0,10.0,17.0,24.0,32.0,10.0,17.0,24.0,32.0,10.0,17.0,24.0,32.0,10.0,17.0,24.0,32.0,5.0,12.0,19.0,27.0,5.0,12.0,19.0,27.0,5.0,12.0,19.0,27.0,5.0,12.0,19.0,27.0,5.0,12.0,19.0,27.0,5.0,12.0,19.0,27.0,28.0,31.0,28.0,31.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5LRY4,11.0,50.0,59.0,13.0,11.0,19.0,28.0,34.0,19.0,28.0,34.0,19.0,28.0,34.0,19.0,28.0,34.0,19.0,28.0,34.0,19.0,28.0,34.0,17.0,26.0,32.0,17.0,26.0,32.0,17.0,26.0,32.0,17.0,26.0,32.0,17.0,26.0,32.0,17.0,26.0,32.0,17.0,26.0,32.0,17.0,26.0,32.0,17.0,26.0,32.0,12.0,21.0,27.0,12.0,21.0,27.0,12.0,21.0,27.0,12.0,21.0,27.0,12.0,21.0,27.0,12.0,21.0,27.0,12.0,21.0,27.0,12.0,21.0,27.0,6.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AW67,16.0,48.0,55.0,62.0,11.0,43.0,50.0,57.0,11.0,43.0,50.0,57.0,31.0,31.0,31.0,16.0,10.0,17.0,24.0,10.0,17.0,24.0,10.0,17.0,24.0,10.0,17.0,24.0,10.0,17.0,24.0,10.0,17.0,24.0,10.0,17.0,24.0,10.0,17.0,24.0,5.0,12.0,19.0,5.0,12.0,19.0,5.0,12.0,19.0,5.0,12.0,19.0,5.0,12.0,19.0,5.0,12.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2S3C0,7.0,11.0,13.0,46.0,36.0,16.0,24.0,40.0,11.0,19.0,35.0,11.0,19.0,35.0,11.0,19.0,35.0,1.0,19.0,20.0,22.0,35.0,1.0,19.0,20.0,22.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12K23,11.0,35.0,50.0,57.0,11.0,35.0,50.0,57.0,11.0,35.0,50.0,57.0,16.0,16.0,16.0,40.0,11.0,35.0,2.0,17.0,24.0,32.0,2.0,17.0,24.0,32.0,2.0,17.0,24.0,32.0,2.0,17.0,24.0,32.0,12.0,19.0,27.0,12.0,19.0,27.0,12.0,19.0,27.0,12.0,19.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3QB95,11.0,35.0,50.0,57.0,11.0,35.0,50.0,57.0,16.0,16.0,16.0,40.0,11.0,35.0,2.0,17.0,24.0,33.0,2.0,17.0,24.0,33.0,2.0,17.0,24.0,33.0,2.0,17.0,24.0,33.0,2.0,17.0,24.0,33.0,2.0,17.0,24.0,33.0,12.0,19.0,28.0,12.0,19.0,28.0,12.0,19.0,28.0,12.0,19.0,28.0,12.0,19.0,28.0,9.0,16.0,25.0,9.0,16.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8CSY3,11.0,14.0,35.0,50.0,57.0,11.0,14.0,35.0,50.0,57.0,60.0,16.0,19.0,16.0,19.0,16.0,19.0,40.0,11.0,14.0,35.0,2.0,17.0,24.0,27.0,32.0,33.0,2.0,17.0,24.0,27.0,32.0,33.0,2.0,17.0,24.0,27.0,32.0,33.0,2.0,17.0,24.0,27.0,32.0,33.0,2.0,17.0,24.0,27.0,32.0,33.0,2.0,17.0,24.0,27.0,32.0,33.0,12.0,19.0,22.0,27.0,28.0,12.0,19.0,22.0,27.0,28.0,12.0,19.0,22.0,27.0,28.0,12.0,19.0,22.0,27.0,28.0,12.0,19.0,22.0,27.0,28.0,12.0,19.0,22.0,27.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0L072,11.0,35.0,50.0,57.0,11.0,35.0,50.0,57.0,16.0,16.0,40.0,11.0,35.0,2.0,17.0,24.0,32.0,33.0,2.0,17.0,24.0,32.0,33.0,2.0,17.0,24.0,32.0,33.0,2.0,17.0,24.0,32.0,33.0,12.0,19.0,27.0,28.0,12.0,19.0,27.0,28.0,12.0,19.0,27.0,28.0,12.0,19.0,27.0,28.0,9.0,16.0,24.0,25.0,9.0,16.0,24.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1KGH1,11.0,35.0,45.0,50.0,57.0,11.0,35.0,45.0,50.0,57.0,11.0,35.0,45.0,50.0,57.0,16.0,16.0,16.0,40.0,11.0,35.0,2.0,12.0,17.0,24.0,32.0,2.0,12.0,17.0,24.0,32.0,2.0,12.0,17.0,24.0,32.0,2.0,12.0,17.0,24.0,32.0,2.0,12.0,17.0,24.0,32.0,2.0,12.0,17.0,24.0,32.0,7.0,12.0,19.0,27.0,7.0,12.0,19.0,27.0,7.0,12.0,19.0,27.0,7.0,12.0,19.0,27.0,7.0,12.0,19.0,27.0,7.0,12.0,19.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q32BF0,11.0,35.0,43.0,50.0,57.0,11.0,35.0,43.0,50.0,57.0,60.0,11.0,35.0,43.0,50.0,57.0,60.0,16.0,16.0,40.0,11.0,35.0,11.0,35.0,5.0,12.0,19.0,22.0,27.0,5.0,12.0,19.0,22.0,27.0,5.0,12.0,19.0,22.0,27.0,5.0,12.0,19.0,22.0,27.0,5.0,12.0,19.0,22.0,27.0,2.0,9.0,16.0,19.0,24.0,2.0,9.0,16.0,19.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2NW34,11.0,35.0,50.0,57.0,11.0,35.0,50.0,57.0,16.0,16.0,40.0,11.0,35.0,11.0,35.0,12.0,19.0,27.0,12.0,19.0,27.0,12.0,19.0,27.0,12.0,19.0,27.0,12.0,19.0,27.0,9.0,16.0,24.0,9.0,16.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5VD74,11.0,18.0,35.0,50.0,2.0,17.0,32.0,2.0,17.0,32.0,2.0,17.0,32.0,2.0,17.0,32.0,2.0,17.0,32.0,2.0,17.0,32.0,2.0,17.0,32.0,2.0,17.0,32.0,2.0,17.0,32.0,12.0,27.0,12.0,27.0,12.0,27.0,12.0,27.0,12.0,27.0,12.0,27.0,12.0,27.0,12.0,27.0,12.0,27.0,4.0,6.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q82C85,21.0,23.0,42.0,21.0,23.0,42.0,21.0,23.0,42.0,21.0,23.0,42.0,15.0,16.0,29.0,15.0,16.0,29.0,15.0,16.0,29.0,15.0,16.0,29.0,10.0,11.0,24.0,10.0,11.0,24.0,10.0,11.0,24.0,10.0,11.0,24.0,10.0,11.0,24.0,10.0,11.0,24.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,17.0,35.0,12.0,30.0,12.0,30.0,12.0,30.0,12.0,30.0,12.0,30.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99Z94,10.0,11.0,17.0,22.0,48.0,17.0,18.0,24.0,29.0,17.0,18.0,24.0,29.0,17.0,18.0,24.0,29.0,17.0,18.0,24.0,29.0,17.0,18.0,24.0,29.0,17.0,18.0,24.0,29.0,10.0,11.0,17.0,22.0,1.0,19.0,20.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1IBL9,10.0,11.0,17.0,22.0,48.0,17.0,18.0,24.0,29.0,17.0,18.0,24.0,29.0,17.0,18.0,24.0,29.0,17.0,18.0,24.0,29.0,17.0,18.0,24.0,29.0,17.0,18.0,24.0,29.0,10.0,11.0,17.0,22.0,1.0,7.0,19.0,20.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0DB53,10.0,11.0,17.0,22.0,48.0,17.0,18.0,24.0,29.0,17.0,18.0,24.0,29.0,17.0,18.0,24.0,29.0,17.0,18.0,24.0,29.0,17.0,18.0,24.0,29.0,17.0,18.0,24.0,29.0,10.0,11.0,17.0,22.0,1.0,19.0,20.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6QB70,4.0,5.0,12.0,13.0,19.0,52.0,57.0,4.0,5.0,12.0,13.0,19.0,52.0,57.0,9.0,37.0,9.0,37.0,39.0,9.0,10.0,17.0,18.0,24.0,9.0,10.0,17.0,18.0,24.0,9.0,10.0,17.0,18.0,24.0,4.0,5.0,12.0,13.0,19.0,4.0,5.0,12.0,13.0,19.0,4.0,5.0,12.0,13.0,19.0,1.0,5.0,19.0,20.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3AM97,11.0,35.0,50.0,57.0,11.0,35.0,50.0,57.0,11.0,35.0,9.0,16.0,24.0,31.0,9.0,16.0,24.0,31.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
