,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
C6BUE5,18,22,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8J030,18,22,18.0,22.0,18.0,22.0,18.0,22.0,18.0,22.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6AJW0,5,22,5.0,22.0,5.0,22.0,5.0,22.0,5.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B5YZ00,5,7,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3YS22,7,15,22.0,7.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5FGZ3,7,22,7.0,22.0,7.0,22.0,7.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4WGC5,5,7,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1YJV8,15,22,24.0,15.0,22.0,24.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5FIZ1,7,15,22.0,7.0,15.0,22.0,7.0,15.0,22.0,7.0,15.0,22.0,7.0,15.0,22.0,7.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8RHK1,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q748I9,15,18,22.0,15.0,18.0,22.0,15.0,18.0,22.0,15.0,18.0,22.0,15.0,18.0,22.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5D5L1,15,22,24.0,15.0,22.0,24.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5G964,15,18,22.0,35.0,15.0,18.0,22.0,35.0,15.0,18.0,22.0,35.0,15.0,18.0,22.0,35.0,15.0,18.0,22.0,35.0,15.0,18.0,22.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6JP76,7,11,19.0,20.0,31.0,7.0,11.0,19.0,20.0,31.0,7.0,11.0,19.0,20.0,31.0,7.0,11.0,19.0,20.0,31.0,7.0,11.0,19.0,20.0,31.0,7.0,11.0,19.0,20.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04B34,5,15,22.0,24.0,5.0,15.0,22.0,24.0,5.0,15.0,22.0,24.0,5.0,15.0,22.0,24.0,5.0,15.0,22.0,24.0,5.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9CGE5,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,5.0,15.0,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q039K2,15,22,24.0,15.0,22.0,24.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5VJ95,3,15,22.0,24.0,3.0,15.0,22.0,24.0,3.0,15.0,22.0,24.0,3.0,15.0,22.0,24.0,3.0,15.0,22.0,24.0,3.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1D5Q6,10,18,22.0,10.0,18.0,22.0,10.0,18.0,22.0,10.0,18.0,22.0,10.0,18.0,22.0,10.0,18.0,22.0,10.0,18.0,22.0,10.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0ASI7,7,22,7.0,22.0,7.0,22.0,7.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0AJ07,5,22,24.0,5.0,22.0,24.0,5.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3JDM3,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8EPM2,15,22,24.0,15.0,22.0,24.0,15.0,22.0,24.0,15.0,22.0,24.0,15.0,22.0,24.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P57947,1,7,15.0,18.0,22.0,1.0,7.0,15.0,18.0,22.0,1.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6DJE1,5,7,15.0,18.0,22.0,31.0,5.0,7.0,15.0,18.0,22.0,31.0,5.0,7.0,15.0,18.0,22.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1S1P8,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3MF47,15,18,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5HNN0,1,15,22.0,24.0,1.0,15.0,22.0,24.0,1.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q49YA5,9,23,30.0,32.0,1.0,15.0,22.0,24.0,1.0,15.0,22.0,24.0,1.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8E4L9,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0MA50,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2FTY5,7,18,22.0,31.0,7.0,18.0,22.0,31.0,7.0,18.0,22.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9A088,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2IR86,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5M5A9,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CFF1,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q67SJ6,15,15,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1JHT4,5,7,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9NFM5,7,18,22.0,24.0,7.0,18.0,22.0,24.0,7.0,18.0,22.0,24.0,7.0,18.0,22.0,24.0,7.0,18.0,22.0,24.0,7.0,18.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3M990,7,22,7.0,22.0,7.0,22.0,7.0,22.0,7.0,22.0,7.0,22.0,7.0,22.0,7.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9MDD6,1,5,7.0,22.0,36.0,1.0,5.0,7.0,22.0,36.0,1.0,5.0,7.0,22.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0KEY0,5,7,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9JZK9,15,18,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6TM67,5,22,24.0,5.0,22.0,24.0,5.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3ES13,15,22,15.0,22.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6G2G5,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9IXE1,15,18,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1LTY0,5,7,15.0,22.0,24.0,5.0,7.0,15.0,22.0,24.0,5.0,7.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q491W2,7,13,18.0,22.0,7.0,13.0,18.0,22.0,7.0,13.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P57507,7,18,22.0,7.0,18.0,22.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q89AD0,7,18,22.0,31.0,7.0,18.0,22.0,31.0,7.0,18.0,22.0,31.0,7.0,18.0,22.0,31.0,7.0,18.0,22.0,31.0,7.0,18.0,22.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8KAK5,15,18,22.0,15.0,18.0,22.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5I9U4,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1MXT9,3,5,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0
Q92BF6,5,22,24.0,5.0,22.0,24.0,5.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5FAC6,5,7,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q82S94,5,18,22.0,5.0,18.0,22.0,5.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2Y797,5,18,22.0,5.0,18.0,22.0,5.0,18.0,22.0,5.0,18.0,22.0,5.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3SN20,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6DB76,5,7,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4SC74,1,7,15.0,18.0,22.0,1.0,7.0,15.0,18.0,22.0,1.0,7.0,15.0,18.0,22.0,1.0,7.0,15.0,18.0,22.0,1.0,7.0,15.0,18.0,22.0,1.0,7.0,15.0,18.0,22.0,1.0,7.0,15.0,18.0,22.0,1.0,7.0,15.0,18.0,22.0,1.0,7.0,15.0,18.0,22.0,1.0,7.0,15.0,18.0,22.0,,,,,,,,,,
A5D451,18,22,18.0,22.0,18.0,22.0,18.0,22.0,18.0,22.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9BHV0,17,21,17.0,21.0,17.0,21.0,17.0,21.0,17.0,21.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12FG5,1,5,7.0,18.0,22.0,36.0,1.0,5.0,7.0,18.0,22.0,36.0,1.0,5.0,7.0,18.0,22.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7MX68,7,15,22.0,7.0,15.0,22.0,7.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02DL7,5,7,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4KKJ8,5,7,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4XNL3,5,7,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3KKA7,5,7,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q88RK5,5,7,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,5.0,7.0,14.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3IJG3,7,14,17.0,21.0,26.0,7.0,14.0,17.0,21.0,26.0,7.0,14.0,17.0,21.0,26.0,7.0,14.0,17.0,21.0,26.0,7.0,14.0,17.0,21.0,26.0,7.0,14.0,17.0,21.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1SRG3,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2J2B7,7,15,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8GM60,10,23,27.0,10.0,23.0,27.0,5.0,18.0,22.0,5.0,18.0,22.0,10.0,23.0,27.0,5.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q68XW9,10,27,10.0,27.0,5.0,22.0,5.0,22.0,10.0,27.0,5.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AVN1,5,7,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0TNM9,7,14,17.0,21.0,7.0,14.0,17.0,21.0,7.0,14.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q31UD0,5,7,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q026Q1,7,15,18.0,22.0,24.0,7.0,15.0,18.0,22.0,24.0,7.0,15.0,18.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4L712,15,22,24.0,15.0,22.0,24.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3K0K1,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0DA93,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9K8C0,17,21,17.0,21.0,17.0,21.0,17.0,21.0,17.0,21.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0KBA1,1,5,15.0,22.0,1.0,5.0,15.0,22.0,1.0,5.0,15.0,22.0,1.0,5.0,15.0,22.0,1.0,5.0,15.0,22.0,1.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1LBK5,17,21,17.0,21.0,17.0,21.0,17.0,21.0,17.0,21.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3SMA6,7,15,18.0,22.0,31.0,7.0,15.0,18.0,22.0,31.0,34.0,7.0,15.0,18.0,22.0,31.0,34.0,7.0,15.0,18.0,22.0,31.0,7.0,15.0,18.0,22.0,31.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4L968,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3LPV3,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B5FFA6,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q87DM6,5,7,18.0,22.0,29.0,31.0,5.0,7.0,18.0,22.0,29.0,31.0,5.0,7.0,18.0,22.0,29.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8UIB4,15,18,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0A4P0,5,7,15.0,18.0,22.0,31.0,5.0,7.0,15.0,18.0,22.0,31.0,5.0,7.0,15.0,18.0,22.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4S284,5,7,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5PAH3,7,22,7.0,22.0,7.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5P7M2,5,10,18.0,22.0,5.0,10.0,18.0,22.0,5.0,10.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q89BP9,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8D9L0,7,18,22.0,7.0,18.0,22.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8K9C9,7,18,22.0,31.0,7.0,18.0,22.0,31.0,7.0,18.0,22.0,31.0,7.0,18.0,22.0,31.0,7.0,18.0,22.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3EGV8,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,
A1BJ02,1,15,18.0,22.0,1.0,15.0,18.0,22.0,1.0,15.0,18.0,22.0,1.0,15.0,18.0,22.0,1.0,15.0,18.0,22.0,1.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2UX10,7,18,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5N2K5,7,18,22.0,7.0,18.0,22.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8XKK5,7,18,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6J4E1,7,15,18.0,22.0,7.0,15.0,18.0,22.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8FLF0,15,18,22.0,15.0,18.0,22.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5HB81,7,22,7.0,22.0,7.0,22.0,7.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8CY70,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,5.0,15.0,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4K8N5,5,7,18.0,22.0,5.0,7.0,18.0,22.0,5.0,7.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B5Z9J7,7,11,19.0,20.0,29.0,30.0,31.0,7.0,11.0,19.0,20.0,29.0,30.0,31.0,7.0,11.0,19.0,20.0,29.0,30.0,31.0,7.0,11.0,19.0,20.0,29.0,30.0,31.0,7.0,11.0,19.0,20.0,29.0,30.0,31.0,7.0,11.0,19.0,20.0,29.0,30.0,31.0,,,,,,,,,,,,,,,,,,
Q5QXJ0,5,7,15.0,18.0,22.0,31.0,32.0,5.0,7.0,15.0,18.0,22.0,31.0,32.0,5.0,7.0,15.0,18.0,22.0,31.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B5XZJ3,5,7,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,5.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1IRA2,14,17,21.0,23.0,14.0,17.0,21.0,23.0,14.0,17.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1GAP7,5,15,22.0,24.0,5.0,15.0,22.0,24.0,5.0,15.0,22.0,24.0,5.0,15.0,22.0,24.0,5.0,15.0,22.0,24.0,5.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2GBC5,3,15,22.0,24.0,3.0,15.0,22.0,24.0,3.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8YUS5,5,15,22.0,24.0,5.0,15.0,22.0,24.0,5.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02Z21,5,15,22.0,5.0,15.0,22.0,5.0,15.0,22.0,5.0,15.0,22.0,5.0,15.0,22.0,5.0,15.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q88VE3,23,30,32.0,15.0,22.0,24.0,15.0,22.0,24.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1WUI3,5,15,22.0,24.0,5.0,15.0,22.0,24.0,5.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03W10,3,5,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,3.0,5.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q65R06,1,7,15.0,18.0,22.0,1.0,7.0,15.0,18.0,22.0,1.0,7.0,15.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1H4T4,5,22,5.0,22.0,5.0,22.0,5.0,22.0,5.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8Y6X3,5,22,24.0,5.0,22.0,24.0,5.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P47577,14,17,21.0,14.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9K8F7,15,22,24.0,15.0,22.0,24.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8FFV6,15,22,24.0,15.0,22.0,24.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7Z7A9,15,22,24.0,15.0,22.0,24.0,15.0,22.0,24.0,15.0,22.0,24.0,15.0,22.0,24.0,15.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8RC22,6,10,23.0,27.0,6.0,10.0,23.0,27.0,6.0,10.0,23.0,27.0,1.0,5.0,18.0,22.0,1.0,5.0,18.0,22.0,1.0,5.0,18.0,22.0,1.0,5.0,18.0,22.0,1.0,5.0,18.0,22.0,1.0,5.0,18.0,22.0,1.0,5.0,18.0,22.0,1.0,5.0,18.0,22.0,1.0,5.0,18.0,22.0,,,,,,,,,,,,
B8H1E7,22,22,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11LE3,15,18,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
