,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Q4FLK5,18.0,21.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3ZJ24,16.0,19.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1XDK1,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P85834,16.0,26.0,34.0,15.0,25.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8GVB2,24.0,27.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q06SH3,15.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q67JU1,20.0,23.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P74227,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1KVS9,16.0,19.0,26.0,15.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0CS42,16.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6QLJ3,17.0,22.0,1.0,10.0,16.0,35.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8XT37,15.0,20.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8VPJ1,16.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5DN84,17.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8C3X4,17.0,22.0,1.0,10.0,12.0,16.0,35.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1ZET3,17.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8MS24,16.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4JWU3,16.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6C255,16.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5DWG7,16.0,21.0,23.0,16.0,21.0,23.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9RFQ5,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6RGX9,16.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5FMX6,16.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1CLD7,16.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9FNM5,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q38BU9,1.0,13.0,18.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6HPI9,16.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q74ZG2,15.0,20.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2QU25,16.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q59P53,16.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5PCH4,16.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0CS18,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1D5Z0,16.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1GX39,16.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6H2S6,16.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7G816,11.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5DG70,16.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0NZL9,16.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2U3T4,16.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4YIT6,16.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4Y8M4,17.0,22.0,24.0,30.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6BMV8,17.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8N442,17.0,22.0,1.0,10.0,12.0,16.0,35.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7S0P6,17.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0SHD5,16.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6QW35,16.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7TPD4,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0XZZ2,16.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P34617,15.0,20.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9WBR8,16.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5M6K8,16.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6CUH2,14.0,19.0,29.0,9.0,14.0,24.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5DWY7,16.0,21.0,27.0,51.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1GGI6,16.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0V3J4,16.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D0NKK0,0.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P46199,0.0,1.0,9.0,16.0,20.0,37.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0B8Q6,0.0,5.0,12.0,33.0,0.0,1.0,9.0,10.0,20.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9HJ60,4.0,38.0,0.0,1.0,9.0,20.0,26.0,27.0,37.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6FF40,0.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1F697,18.0,34.0,18.0,34.0,4.0,13.0,34.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3H163,0.0,20.0,30.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6VNE0,0.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4SJR5,0.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9JYK6,0.0,9.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0A797,0.0,20.0,30.0,36.0,5.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6TRK7,0.0,9.0,12.0,20.0,6.0,9.0,16.0,28.0,36.0,47.0,50.0,55.0,6.0,9.0,16.0,28.0,36.0,47.0,50.0,55.0,,,,,,,,,,,,,,,,,,,,,
B3EUG6,0.0,9.0,12.0,14.0,20.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2IPZ7,0.0,20.0,30.0,36.0,3.0,9.0,16.0,25.0,9.0,16.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5PAJ5,0.0,20.0,36.0,9.0,16.0,9.0,16.0,9.0,16.0,9.0,16.0,39.0,9.0,16.0,9.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
Q3MBZ7,0.0,1.0,9.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O67825,0.0,1.0,9.0,20.0,37.0,9.0,16.0,27.0,28.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8EWD7,0.0,20.0,24.0,27.0,29.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q64ZR4,0.0,20.0,29.0,37.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8FDD1,0.0,1.0,9.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8A2A1,0.0,20.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7Z4T4,0.0,1.0,9.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9VT50,0.0,1.0,12.0,20.0,36.0,1.0,4.0,11.0,22.0,5.0,28.0,33.0,1.0,4.0,11.0,22.0,45.0,50.0,,,,,,,,,,,,,,,,,,,,,,,
Q1LSK8,0.0,9.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2IIJ7,0.0,20.0,29.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1A0A2,0.0,5.0,9.0,20.0,29.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8YEB3,0.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8D9G2,0.0,9.0,11.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8K9H1,0.0,9.0,20.0,29.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1YP36,0.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4XL70,0.0,9.0,12.0,20.0,36.0,6.0,40.0,9.0,16.0,28.0,9.0,16.0,28.0,9.0,16.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,
B0RDY9,0.0,20.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8I6E7,0.0,20.0,27.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0Q0Q7,0.0,12.0,14.0,20.0,27.0,36.0,6.0,16.0,28.0,16.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8XJR8,0.0,12.0,14.0,20.0,27.0,34.0,36.0,6.0,9.0,16.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3DE44,0.0,9.0,12.0,20.0,36.0,7.0,13.0,27.0,35.0,49.0,7.0,13.0,27.0,35.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,
C3PH19,0.0,5.0,9.0,20.0,28.0,29.0,38.0,40.0,10.0,20.0,25.0,29.0,10.0,20.0,25.0,29.0,40.0,5.0,15.0,20.0,24.0,35.0,43.0,44.0,53.0,55.0,,,,,,,,,,,,,,,
Q8FPA7,0.0,5.0,20.0,38.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4JV51,0.0,5.0,20.0,40.0,60.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7KIU2,0.0,1.0,9.0,20.0,34.0,34.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8J1Y4,0.0,12.0,20.0,30.0,9.0,16.0,9.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q72ER1,0.0,12.0,20.0,29.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2GBN7,0.0,1.0,12.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8YVQ7,0.0,1.0,9.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P58002,0.0,1.0,12.0,20.0,36.0,4.0,11.0,23.0,29.0,31.0,45.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q038M5,0.0,1.0,9.0,12.0,20.0,36.0,4.0,11.0,14.0,23.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5VJE0,0.0,1.0,12.0,20.0,36.0,6.0,12.0,14.0,25.0,28.0,33.0,6.0,12.0,14.0,25.0,28.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,
Q1WUF4,0.0,1.0,9.0,12.0,20.0,36.0,6.0,12.0,25.0,28.0,33.0,47.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q38W81,0.0,1.0,12.0,20.0,28.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7MYY7,0.0,9.0,20.0,30.0,36.0,0.0,9.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4SY78,0.0,13.0,20.0,30.0,36.0,4.0,22.0,24.0,4.0,11.0,23.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12AU7,0.0,20.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7MXE4,0.0,9.0,20.0,37.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6A7M5,0.0,9.0,20.0,30.0,40.0,28.0,36.0,28.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2BT70,0.0,20.0,40.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9ZF22,0.0,9.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7V1F6,0.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4KIF6,0.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8F5A0,0.0,1.0,9.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1MN39,0.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q92SW4,0.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0ZYA5,0.0,20.0,30.0,40.0,10.0,20.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2J2J9,0.0,20.0,29.0,38.0,9.0,16.0,9.0,16.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8EYF4,0.0,9.0,20.0,29.0,37.0,6.0,8.0,9.0,16.0,27.0,36.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q68WI4,0.0,9.0,20.0,29.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9MP36,0.0,9.0,20.0,30.0,36.0,0.0,9.0,20.0,30.0,36.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2S1N7,0.0,20.0,31.0,0.0,20.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8Z3H7,0.0,9.0,20.0,30.0,36.0,0.0,9.0,20.0,30.0,36.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12QI1,0.0,20.0,30.0,36.0,22.0,12.0,36.0,20.0,24.0,44.0,47.0,52.0,55.0,20.0,24.0,44.0,47.0,52.0,55.0,20.0,24.0,44.0,47.0,52.0,55.0,,,,,,,,,,,,,,,,
B2U207,0.0,9.0,20.0,30.0,36.0,0.0,9.0,20.0,30.0,36.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6UF29,0.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1GVI9,0.0,20.0,37.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3K302,0.0,1.0,5.0,13.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q82K53,0.0,5.0,9.0,20.0,29.0,30.0,40.0,10.0,20.0,25.0,29.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0M8P7,0.0,1.0,5.0,13.0,20.0,36.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8AVQ2,0.0,1.0,5.0,13.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4SQS0,0.0,9.0,13.0,20.0,30.0,17.0,19.0,29.0,40.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1C5S8,0.0,1.0,5.0,13.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q97S57,0.0,1.0,5.0,13.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4W3R7,0.0,1.0,5.0,13.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3CQ18,0.0,1.0,5.0,13.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5M5V5,0.0,1.0,5.0,13.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30SS6,0.0,12.0,20.0,27.0,36.0,0.0,12.0,20.0,27.0,36.0,40.0,54.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q67P86,0.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q31LL9,0.0,1.0,9.0,20.0,15.0,25.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0LHL8,0.0,9.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1XI09,0.0,1.0,9.0,20.0,22.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5GVG4,0.0,9.0,20.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0I7K2,0.0,20.0,40.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0AYI8,0.0,20.0,29.0,36.0,9.0,16.0,27.0,4.0,11.0,22.0,9.0,16.0,27.0,9.0,16.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,
Q8DK04,0.0,1.0,20.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9WZN3,0.0,1.0,9.0,20.0,36.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3SKX1,0.0,5.0,9.0,20.0,30.0,36.0,0.0,5.0,9.0,20.0,30.0,36.0,4.0,11.0,37.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,
Q5NQ27,0.0,20.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9SHI1,0.0,1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6MVX8,0.0,1.0,9.0,20.0,36.0,40.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q980A5,6.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q91YJ5,0.0,1.0,9.0,20.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G0S8G9,12.0,0.0,9.0,20.0,26.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9LQL7,12.0,28.0,0.0,5.0,20.0,26.0,32.0,0.0,5.0,20.0,26.0,32.0,0.0,5.0,20.0,26.0,32.0,44.0,,,,,,,,,,,,,,,,,,,,,,,
Q10251,6.0,16.0,31.0,11.0,21.0,36.0,0.0,20.0,26.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q97BK4,4.0,38.0,0.0,1.0,9.0,20.0,26.0,27.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0LV27,0.0,9.0,20.0,29.0,32.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1W8Z4,0.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0VSS1,0.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8MFA8,0.0,9.0,12.0,20.0,4.0,11.0,23.0,45.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4RXT8,0.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8JFY6,0.0,20.0,30.0,36.0,3.0,9.0,16.0,25.0,9.0,16.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7H9F3,0.0,20.0,30.0,36.0,9.0,16.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2GKQ2,0.0,20.0,36.0,9.0,16.0,9.0,16.0,9.0,16.0,9.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4UHG0,0.0,20.0,30.0,36.0,3.0,9.0,16.0,25.0,9.0,16.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0JUU0,0.0,20.0,29.0,30.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8IG20,0.0,20.0,29.0,37.0,9.0,16.0,37.0,39.0,42.0,43.0,44.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1K7B9,0.0,20.0,30.0,36.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6L030,0.0,20.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8DW43,0.0,5.0,9.0,20.0,29.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3DQF0,0.0,5.0,9.0,20.0,29.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2KXY7,0.0,20.0,30.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q65ZX2,0.0,14.0,20.0,27.0,36.0,21.0,21.0,21.0,21.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7W9A5,0.0,20.0,30.0,36.0,23.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5E866,0.0,20.0,29.0,38.0,9.0,16.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0K6X5,0.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8RA37,0.0,9.0,12.0,20.0,5.0,6.0,4.0,11.0,22.0,23.0,9.0,16.0,27.0,28.0,4.0,11.0,22.0,23.0,,,,,,,,,,,,,,,,,,,,,,,
A0RQZ4,13.0,20.0,22.0,33.0,0.0,20.0,36.0,0.0,0.0,0.0,34.0,40.0,34.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7I3V0,0.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7H1L5,0.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9AC25,26.0,26.0,21.0,0.0,9.0,20.0,37.0,0.0,9.0,20.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11BC8,0.0,20.0,34.0,36.0,9.0,16.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5L627,0.0,1.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q823F2,0.0,1.0,9.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3B1Z8,0.0,20.0,29.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3QQI2,0.0,20.0,29.0,37.0,4.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1BDF1,0.0,20.0,29.0,37.0,4.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3QUN2,0.0,20.0,29.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0BB83,0.0,1.0,20.0,23.0,29.0,30.0,36.0,12.0,25.0,28.0,33.0,12.0,25.0,28.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7NY13,0.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q97I51,0.0,12.0,14.0,20.0,27.0,36.0,6.0,11.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6LSQ4,0.0,12.0,14.0,20.0,27.0,36.0,16.0,28.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5I4J3,0.0,12.0,14.0,20.0,27.0,36.0,9.0,16.0,28.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0TPR7,0.0,12.0,14.0,20.0,27.0,34.0,36.0,6.0,9.0,16.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q47D94,0.0,20.0,30.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5FQR6,0.0,9.0,20.0,36.0,0.0,6.0,28.0,0.0,6.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CUQ9,0.0,9.0,20.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8FCY5,0.0,12.0,20.0,9.0,16.0,9.0,16.0,9.0,16.0,9.0,16.0,9.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0QHM2,0.0,13.0,20.0,30.0,34.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4J5X2,0.0,9.0,12.0,20.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1VG83,0.0,12.0,20.0,29.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8LQ56,0.0,20.0,29.0,30.0,34.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3YS01,0.0,20.0,37.0,9.0,16.0,9.0,16.0,9.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5HB61,0.0,20.0,29.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4Z5N7,0.0,9.0,12.0,20.0,36.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0S1E5,0.0,20.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
